track_name,artist,genre,popularity,duration_ms,energy,valence,danceability,mode
Find course be,Marvin Shaw,jazz,81,294300,0.36,0.49,0.98,1
Middle,William Rivera,folk,3,153456,0.93,0.02,0.07,1
Option there new,Jesus Flores,rock,36,206357,0.24,0.08,0.33,0
Toward them else,David Baker,folk,12,291910,0.26,0.47,0.41,1
Describe himself size,Nicholas Meyer,jazz,80,153788,0.55,0.18,0.64,0
Today piece,Kathryn Ruiz,pop,28,210270,0.5,0.91,0.64,0
Grow bring result,Janice Schaefer,electronic,71,273402,0.77,0.67,0.1,1
Main him sense guess,William Rivera,jazz,92,225512,0.6,0.01,0.81,1
Perform,Alyssa Kelley,classical,100,217538,0.59,0.31,0.77,1
Some to control,Darrell Lewis,hip hop,94,120173,0.83,0.6,0.43,0
A deep care,Mary Martin,jazz,19,256268,0.61,0.54,0.01,0
Difficult if decision,Kathryn Ruiz,pop,42,230199,0.46,0.23,0.76,1
Away leave why,Christopher Higgins,reggae,10,224614,0.32,0.44,0.09,0
Everybody may,Brandi Yates,metal,71,138117,0.3,0.9,0.06,1
Name with,Matthew Reese,electronic,2,254225,0.28,0.48,0.4,0
Even along,Jonathan Atkins,metal,34,198982,0.46,0.84,0.86,0
Evening,Wesley Nelson,classical,68,193920,0.68,0.24,0.14,1
Kind from,Nichole Drake,hip hop,38,254292,0.0,0.03,0.08,0
Serve seven glass rule,Marvin Shaw,jazz,92,206768,0.34,0.94,0.4,0
Eat off central,Christopher Gomez,classical,43,202660,0.46,0.85,0.58,0
Trip face get,Jesse Mccarthy,metal,63,267613,0.81,0.01,0.28,1
Age suggest,Ryan Hahn,reggae,30,175809,0.22,0.14,0.79,1
Relationship recognize hospital,Jesse Mccarthy,classical,28,141644,0.32,0.54,0.81,1
Evening dark government,Christopher Higgins,electronic,35,125309,0.91,0.14,0.44,0
Fund face three,John Evans,rock,20,146006,0.49,0.95,0.6,0
His news,Clayton Stone,pop,11,226763,0.46,0.93,0.18,0
Sense between,Amanda Huffman,classical,30,274754,0.18,0.41,0.6,1
Brother early color,Alexa Pace,pop,28,153083,0.82,0.75,0.97,0
American radio out,Ebony Frey,electronic,20,251101,0.05,0.53,0.94,1
Partner human,Jesse Mccarthy,pop,19,131818,0.42,0.67,0.05,0
Walk participant on,Nichole Drake,electronic,47,282265,0.23,0.6,0.08,0
Bring,Ryan Hahn,pop,82,125682,0.18,0.58,0.34,0
Leader theory heavy yes,Anne Flynn,metal,23,209263,0.38,0.72,0.28,1
Simple at,Derrick Flores,rock,94,216591,0.35,0.6,0.0,1
Set,Donna Ellis,hip hop,0,194882,0.79,0.34,0.8,0
Line in leave,Edward Mitchell,hip hop,29,141717,0.96,0.65,0.47,0
Generation deal,Kyle Brady,jazz,48,195923,0.44,0.29,0.25,0
Everything woman forward,Jesus Flores,rock,37,212469,0.2,0.61,0.91,0
Use poor,Alyssa Kelley,reggae,54,230289,0.71,0.34,0.34,1
Single lead,William Livingston,metal,16,126947,0.78,0.16,0.09,1
West fill where,Mr. Norman Bender DDS,reggae,7,226634,0.66,0.8,0.62,0
Hear discuss,William Rivera,hip hop,8,296992,0.11,0.48,0.55,1
Truth none,Kathryn Ruiz,pop,80,245258,0.63,0.2,0.25,0
Foreign up,Amanda Huffman,electronic,62,152271,0.54,0.59,0.07,0
Campaign he,Matthew Reese,metal,66,194575,0.65,0.37,0.22,1
Organization sign,Roberto Heath,rock,36,159904,0.61,0.19,0.04,0
About remember he,Kyle Brady,reggae,98,184397,0.57,0.54,0.91,0
Science factor,Jasmine Smith,electronic,89,139175,0.21,0.26,0.34,1
Artist believe,Jesus Flores,metal,26,153242,0.97,0.75,0.54,1
Over personal get,Alyssa Kelley,rock,84,265160,0.2,0.68,0.41,0
Meeting grow,Nichole Drake,classical,67,156558,0.04,0.1,0.27,0
Without national,Mary Martin,metal,20,232189,0.39,0.18,0.45,0
Hot popular,William Livingston,classical,18,247887,0.18,0.28,0.94,0
Order however,Alyssa Kelley,electronic,46,296328,0.39,0.93,0.39,1
Resource significant,Julia Green,metal,67,235680,0.51,0.59,0.16,1
Republican,Kristen Luna MD,jazz,47,151539,0.02,0.41,0.14,0
Leave watch,Ebony Frey,metal,16,268762,0.42,0.38,0.93,0
View picture add mention,Amanda Huffman,hip hop,6,230546,0.77,0.75,0.88,1
Must compare necessary,Kathryn Holloway,hip hop,29,203775,0.7,0.61,0.58,0
Mrs somebody,Amanda Huffman,jazz,34,156302,0.07,0.58,0.3,1
Husband body,Jesse Mccarthy,pop,18,171349,0.29,0.49,0.55,0
Walk teacher,Mary Martin,jazz,63,268697,0.46,0.88,0.37,1
Measure form year radio,Janice Schaefer,pop,3,173375,0.23,0.61,0.13,1
Hope education heart,Mr. Norman Bender DDS,reggae,87,157753,0.77,0.19,0.65,0
Over drive voice,Darrell Lewis,pop,89,190707,0.32,0.72,0.39,1
Worker low health test,Wesley Nelson,reggae,50,171676,0.41,0.22,0.14,1
Foreign carry front,Wesley Nelson,electronic,14,137658,0.99,0.88,0.83,0
Form gas,Nicholas Meyer,pop,86,255788,0.29,0.92,0.13,1
Along common,Nichole Drake,folk,26,175709,0.42,0.45,0.58,0
American pressure computer,Lacey Shaw,folk,88,261625,0.61,0.5,0.74,0
Stage small,Kathryn Ruiz,electronic,1,207967,0.64,0.25,0.92,1
Either find,Richard Fields,hip hop,71,217116,0.92,0.28,0.72,0
Smile court head,Erika Norton,rock,18,188564,0.62,0.76,0.09,0
Price great anyone,Ryan Hahn,classical,83,120239,0.08,0.9,0.29,0
White professor,Mary Martin,reggae,100,259092,0.72,0.89,0.64,0
Ok,Jennifer Black,electronic,93,253581,0.58,0.76,0.74,1
Focus now,Matthew Reese,jazz,8,136056,0.28,0.27,0.06,1
The agreement,Derrick Flores,metal,43,139883,0.69,0.83,0.19,0
Administration also laugh,Derrick Flores,jazz,82,176948,0.48,0.46,0.35,0
Age board degree,Christopher Higgins,electronic,79,287552,0.01,0.92,0.52,1
Perhaps left,Jonathan Atkins,metal,57,148833,0.49,0.82,0.55,0
Spend control weight,Kathryn Holloway,rock,4,160571,0.89,0.79,0.66,1
Table matter several,Jasmine Smith,folk,71,289302,0.7,0.48,0.1,0
Leader young,Jennifer Mcpherson,rock,66,222042,0.42,0.8,0.98,0
Cell gun,Darrell Lewis,rock,73,243213,0.83,0.39,0.36,0
Simple matter table,Lacey Shaw,electronic,52,137215,0.48,0.04,0.32,0
Friend doctor,Christopher Gomez,classical,26,218284,0.19,0.36,0.54,1
Treat move,Charles Conley,metal,56,159308,0.55,0.25,0.95,0
Public relate,Lacey Shaw,folk,36,161739,0.39,0.66,0.09,1
Radio nice,Mr. Norman Bender DDS,classical,5,137441,0.68,0.54,0.27,1
Better modern billion,Mr. Norman Bender DDS,metal,62,278532,0.87,0.0,0.87,0
Walk,Anne Flynn,pop,100,255119,0.34,0.16,0.83,0
Price lot law themselves,David Baker,reggae,49,232721,0.59,0.81,0.22,1
Heavy wonder,Matthew Reese,rock,47,136051,0.16,0.13,0.52,1
Positive rather,Abigail Watkins,metal,30,121158,0.8,0.47,0.19,0
Guess suffer,Darrell Lewis,folk,60,152784,0.89,0.84,0.64,0
Play appear,Kristen Luna MD,folk,21,246820,0.79,0.47,0.92,0
Care wish,David Baker,rock,64,196674,0.14,0.13,0.73,1
Write help,Wesley Nelson,electronic,99,277952,0.06,0.44,0.08,0
Science,Anne Flynn,pop,91,193048,0.14,0.3,0.29,0
Role pressure,Mary Martin,pop,94,292660,0.48,0.82,0.66,1
Put goal,David Baker,rock,79,231986,0.93,0.68,0.58,1
Play total nice,Kathryn Ruiz,rock,46,279885,0.43,0.77,0.4,1
Look feel,Jonathan Atkins,metal,5,279188,0.61,0.68,0.52,0
Group eight reduce,Jonathan Atkins,electronic,99,189734,0.02,0.61,0.37,0
Against,Destiny Roberts,jazz,86,219578,0.68,0.36,0.78,0
Police clearly even,Destiny Roberts,hip hop,11,271900,0.08,0.26,0.98,0
Doctor customer,Richard Fields,reggae,46,194583,0.48,0.24,0.05,0
Month someone,Alyssa Kelley,classical,100,287913,0.59,0.08,0.94,0
Subject floor require,Christopher Higgins,rock,8,224062,0.71,0.91,0.42,0
Education particularly,Christopher Higgins,folk,17,225205,0.35,0.57,0.21,1
Statement within of,Kyle Brady,reggae,76,239462,0.86,0.92,0.2,1
Physical green federal,Derrick Flores,jazz,64,174268,0.36,0.89,0.6,0
Head something,Darrell Lewis,jazz,51,243730,0.57,0.82,0.38,1
Look magazine laugh,Jonathan Atkins,metal,86,182931,0.81,0.02,0.21,1
Design now effort,Brandi Yates,hip hop,52,230960,0.36,0.78,0.14,1
Decade clear,Kyle Brady,folk,33,275253,0.9,0.99,0.5,0
Agency pretty behind them,Wesley Nelson,jazz,5,129013,0.69,0.73,0.66,0
Recent population,Alexa Pace,folk,85,133010,0.09,0.67,0.38,0
Because lay,Roberto Heath,classical,75,126314,0.56,0.34,0.21,0
Parent hope produce between,Marvin Shaw,reggae,51,290839,0.2,0.06,0.64,0
Believe nor student,Charles Conley,electronic,53,291823,0.91,0.38,0.71,0
Fight film,Roberto Heath,pop,7,134906,0.72,0.59,0.53,0
Style,Mr. Norman Bender DDS,rock,56,256587,0.11,0.0,0.94,0
Middle reality particularly,Jennifer Black,hip hop,82,180461,0.34,0.95,0.06,0
Everything generation sister,Jesus Flores,pop,94,180323,0.05,0.26,0.22,1
Itself staff,Aaron Phillips,metal,11,183554,0.77,0.39,0.53,0
Past thank,Roberto Heath,folk,17,155941,0.67,0.43,0.07,1
Wait reach,Jasmine Smith,reggae,32,240061,0.85,0.87,0.91,0
Stock culture total,Roberto Heath,rock,4,211449,0.68,0.95,0.67,0
Bit produce room,Jesus Flores,pop,55,250336,0.93,0.6,0.62,1
State study store,Abigail Watkins,hip hop,71,273230,0.99,0.75,0.14,1
Source Mrs great,Lindsay Orr,electronic,52,213317,0.65,0.76,0.1,1
Behind entire turn worry,Lindsay Orr,metal,88,145767,0.51,0.48,0.87,0
Ever power,Christopher Gomez,folk,27,227260,0.93,0.43,0.53,1
Identify specific whom,Roberto Heath,pop,93,291636,0.4,0.78,0.64,1
Away campaign meet,Jesse Mccarthy,metal,75,161658,0.18,0.43,0.44,0
Base throw,John Evans,electronic,82,224092,0.09,0.4,0.82,0
Color country feel real,Mr. Norman Bender DDS,hip hop,82,277870,0.68,0.71,0.97,0
Change stop,Jonathan Atkins,reggae,74,273021,0.24,0.32,0.54,0
Bar ability,Kyle Brady,classical,79,244943,0.48,0.15,0.32,1
Member moment remain,Jonathan Atkins,metal,3,263928,0.84,0.91,0.37,0
Simple sort,Richard Fields,classical,9,196259,0.12,0.44,0.89,1
Job believe theory,Lindsay Orr,classical,70,272754,0.19,0.07,0.82,1
Impact difference design Congress,Mary Martin,metal,11,260085,0.53,0.08,0.11,1
Interview myself upon,Aaron Phillips,folk,5,134701,0.87,0.36,0.04,0
They modern,Antonio Jones,jazz,76,287404,0.18,0.95,0.56,1
Represent,Matthew Reese,classical,59,133052,0.63,0.64,0.77,0
Picture themselves,Marvin Shaw,pop,13,159302,0.34,0.01,0.64,1
Book hour,Alyssa Kelley,pop,35,164804,0.57,0.97,0.4,1
Soldier huge will,Jesse Mccarthy,hip hop,20,179522,0.85,0.41,0.21,0
Father instead station,Richard Fields,folk,49,164079,0.89,0.01,0.95,0
Agency today behind,Destiny Roberts,pop,33,165288,0.9,0.65,0.42,1
Goal your summer,Jennifer Mcpherson,reggae,30,243095,0.95,0.73,0.29,0
Trade senior wear,Alyssa Kelley,classical,100,144122,0.81,0.76,0.31,1
Lawyer meet,Amanda Huffman,metal,99,250033,0.26,0.72,0.54,1
Loss change police,Jennifer Mcpherson,electronic,82,199673,0.25,0.37,0.25,0
Develop across,Kathryn Ruiz,jazz,83,232495,0.9,0.98,0.66,1
Approach company,Derrick Flores,classical,25,294655,0.75,0.27,0.2,1
Stay,Edward Mitchell,folk,29,293369,0.94,0.35,0.55,1
Whose product current,Kathleen Lang,hip hop,63,176579,0.43,0.39,0.3,1
Son majority,Anne Flynn,electronic,3,293800,0.81,0.47,0.52,0
No wonder big parent,Kathryn Holloway,folk,37,183885,0.16,0.88,0.41,0
Future situation win,Clayton Stone,jazz,31,232885,1.0,0.69,0.87,0
Town improve,Richard Fields,classical,97,200111,0.32,0.06,0.99,0
Relate interesting brother,Christopher Gomez,hip hop,34,225091,0.46,0.73,0.01,1
Civil model,Antonio Jones,electronic,22,278206,0.76,0.57,0.7,1
Apply different dark,Edward Mitchell,electronic,62,157192,0.84,0.59,0.27,1
Treatment all,William Rivera,pop,71,127491,0.06,0.14,0.56,1
Sing thought huge coach,Mary Martin,rock,4,297362,0.13,0.7,0.0,1
Hundred interesting do,Brandi Yates,pop,23,267410,0.09,0.21,0.23,0
Me hand spend,Janice Schaefer,hip hop,76,189421,0.77,0.69,0.68,0
Fish respond,Jesus Flores,reggae,97,206667,0.19,0.8,0.72,0
Suffer save,Anne Flynn,rock,30,292181,0.35,0.03,0.99,0
Feeling most produce,Mary Martin,metal,23,240774,0.82,0.15,0.43,1
Present affect value,Brandi Yates,hip hop,44,149100,0.69,0.52,0.5,0
Free book laugh,Kristen Luna MD,folk,86,211775,0.35,0.34,0.08,1
South lead,Kathryn Holloway,pop,80,141186,0.58,0.32,0.08,1
Key total yard,Mary Martin,classical,40,299375,0.22,0.45,0.03,1
Enjoy,Lindsay Orr,hip hop,23,262558,0.85,0.42,0.2,1
Any local song rise,Kathryn Ruiz,jazz,12,156804,0.85,0.67,0.83,1
Support most center,Nicholas Meyer,metal,92,163721,0.76,0.26,0.1,1
Half such,Derrick Flores,pop,32,257814,0.12,0.98,0.66,1
South PM,Wesley Nelson,hip hop,75,282905,0.93,0.42,0.23,1
Order free,Richard Fields,electronic,30,282127,0.6,0.95,0.44,1
Available,Clayton Stone,pop,42,128516,0.71,0.72,0.82,0
Son any,Amanda Huffman,hip hop,90,229778,0.44,0.68,0.1,0
Cell simply wish her,Antonio Jones,electronic,100,180070,0.83,0.53,0.56,0
Top player,Derrick Flores,jazz,44,143711,0.66,0.65,0.06,1
Area between television buy,Alexa Pace,electronic,38,216014,0.05,0.68,0.55,0
Clearly let,William Rivera,rock,32,154737,0.47,0.77,0.44,1
Someone director,Kathryn Holloway,hip hop,78,136757,0.11,0.33,0.59,1
Benefit put anyone laugh,Erika Norton,jazz,10,256665,0.85,0.2,0.3,1
Myself good one,Donna Ellis,classical,10,129996,0.69,0.86,0.66,1
Cause station,Marvin Shaw,reggae,86,288431,0.11,0.02,0.15,0
Owner seem usually,Kathryn Holloway,reggae,16,222190,0.9,0.96,0.81,1
Fire trade,Lacey Shaw,electronic,65,149240,0.84,0.14,0.61,0
Be talk box,Alyssa Kelley,folk,29,282149,0.16,0.1,0.55,1
Paper nothing,Charles Conley,rock,56,177103,0.68,0.44,0.48,0
Suffer majority,Destiny Roberts,classical,72,254701,0.68,0.49,0.44,1
There job,Kathryn Holloway,classical,94,282201,0.84,0.08,0.86,0
Name training,Antonio Jones,jazz,40,133400,0.01,0.99,0.01,1
Too smile,William Rivera,folk,71,249595,0.55,0.03,0.21,1
Build idea,Ryan Hahn,classical,21,275830,0.32,0.4,0.76,0
Staff radio item,Brittany Avila,electronic,99,132458,0.27,0.6,0.72,0
Story those,Kathleen Lang,jazz,87,240386,0.68,0.3,0.07,0
Big significant big,Aaron Phillips,electronic,69,252379,0.1,0.08,0.24,0
Accept case,Jesse Mccarthy,reggae,9,132705,0.87,0.31,0.24,1
Bank person animal,Ryan Hahn,metal,12,262997,0.31,0.15,0.1,0
Ground professor,William Rivera,classical,22,128264,0.77,0.74,0.69,0
Clear set,Jennifer Black,metal,15,287031,0.41,0.42,0.01,0
Collection company mouth,William Rivera,reggae,94,219713,0.6,0.47,0.51,1
Drug soon,Aaron Phillips,reggae,61,168283,0.05,0.02,0.13,1
Behavior fine move,Charlotte Jones,rock,6,244227,0.91,0.46,0.43,1
Nearly mother magazine,Jennifer Mcpherson,folk,3,291497,0.67,0.84,0.32,0
Join soldier,Janice Schaefer,electronic,0,258696,0.37,0.76,0.88,0
Onto guy,Brittany Avila,jazz,38,214845,0.26,0.36,0.61,0
Catch thus,Mary Martin,metal,43,222101,0.82,0.6,0.45,1
Relate,William Rivera,rock,56,236954,0.73,0.81,0.69,1
Drug member,Aaron Phillips,hip hop,30,273263,0.35,0.11,0.74,1
Notice administration,Christopher Gomez,reggae,28,126621,0.37,0.49,0.46,0
Like nature,Jennifer Black,folk,61,195103,0.82,0.05,0.73,0
Newspaper soldier,Brandi Yates,jazz,48,138047,0.3,0.79,0.89,0
Fine piece,Aaron Phillips,reggae,26,177255,0.0,0.95,0.11,1
Indeed need sort,Charlotte Jones,metal,12,299358,0.3,0.63,0.1,0
Thing station,Derrick Flores,jazz,29,149542,0.6,0.99,0.74,0
Speech Republican style,Julia Green,metal,61,127133,0.84,0.39,0.38,1
Pretty everything,Lindsay Orr,folk,2,176741,0.38,0.56,0.96,0
Pretty expert,Antonio Jones,pop,69,177642,0.49,0.6,0.64,1
Sing,Jasmine Smith,electronic,10,210312,0.58,0.18,0.95,0
Child provide,Lindsay Orr,hip hop,7,220480,0.33,0.22,0.06,1
Different beautiful best,Kathryn Ruiz,pop,95,299723,0.15,0.09,0.54,0
Much deep upon develop,Derrick Flores,hip hop,20,193601,0.48,0.52,0.02,0
Name cold,Jasmine Smith,reggae,74,224983,0.65,0.85,0.48,1
Improve dark full,Jesus Flores,folk,93,256482,0.66,0.83,0.48,1
Garden fish,Jesus Flores,reggae,76,134910,0.32,0.93,0.13,1
Adult environment,Marvin Shaw,rock,35,263205,0.85,0.79,0.99,1
Deep,Edward Mitchell,folk,12,264937,0.62,0.66,0.99,0
Doctor wind,William Livingston,metal,63,175380,0.63,0.68,0.96,1
Seat my,William Rivera,metal,12,226937,0.2,0.09,0.6,1
Million point,John Evans,classical,22,228637,0.1,0.6,0.61,0
Statement mouth,Mr. Norman Bender DDS,reggae,64,138620,0.09,0.84,0.21,0
Site might,Jennifer Black,metal,21,132415,0.11,0.21,0.82,1
School little nice star,Aaron Phillips,rock,63,211241,0.19,0.68,0.17,1
Officer sit,Jasmine Smith,electronic,24,230517,0.92,0.8,0.24,1
Exactly sell,Kyle Brady,folk,34,271622,0.04,0.85,0.31,0
Cause control,Lindsay Orr,electronic,86,162819,0.6,0.75,0.37,1
Reveal special wonder,Donna Ellis,folk,43,230388,0.9,0.82,0.23,0
Move,Lindsay Orr,hip hop,35,177102,0.6,0.15,0.91,1
Condition main,John Evans,rock,34,138281,0.83,0.7,0.18,0
Real experience reality view,Alyssa Kelley,jazz,53,167055,0.9,0.11,0.7,0
Never again,Alexa Pace,electronic,4,151854,0.7,0.4,0.57,1
Marriage event,Julia Green,classical,12,174502,0.72,0.55,0.32,0
Agency home whatever ground,Kathryn Ruiz,classical,27,133820,0.6,0.01,0.77,1
Decision degree spring,Jennifer Black,metal,84,208519,0.78,0.62,0.65,1
Sing,Jennifer Mcpherson,jazz,100,271858,0.54,0.14,0.28,0
Listen deep job,Edward Mitchell,folk,78,278689,0.87,0.7,0.46,0
Ahead change dark,Brittany Avila,classical,97,144365,0.42,0.51,0.07,0
Find situation,Jesus Flores,electronic,60,170360,0.93,0.45,0.48,0
History continue along,Lindsay Orr,rock,84,179339,0.71,0.97,0.71,0
Leave participant machine,Destiny Roberts,jazz,83,164997,0.65,0.73,0.95,0
Life easy,Nicholas Meyer,folk,29,136077,0.41,0.91,0.18,0
Hope man,Charles Conley,metal,39,123779,0.09,0.54,0.65,1
Early fast marriage,Antonio Jones,jazz,21,197733,0.76,0.55,0.85,0
System consider,Lacey Shaw,pop,88,193272,0.24,0.84,0.37,1
Feeling draw,Kathleen Lang,reggae,44,143818,0.12,0.74,0.43,0
Finish later bit,Kathleen Lang,classical,35,122114,0.61,0.58,0.1,1
Then skill cover along,Erika Norton,classical,79,261335,0.62,0.06,0.19,0
None require find,Clayton Stone,classical,81,155188,0.3,0.32,0.09,0
Risk sell,Jesse Mccarthy,folk,49,139947,0.67,0.82,0.07,0
Big occur same,Kathryn Ruiz,classical,40,281612,0.27,0.75,0.59,0
National bill,Matthew Reese,pop,22,183402,0.48,0.71,0.43,1
Dark condition style,Charlotte Jones,hip hop,21,269382,0.35,0.23,0.38,1
Hear effort minute significant,William Livingston,rock,80,262020,0.78,0.19,0.68,0
Project tough left,Destiny Roberts,jazz,35,291364,0.63,0.15,0.0,1
Official clearly,Derrick Flores,hip hop,95,169236,0.27,0.19,0.81,0
Might security,Julia Green,electronic,26,243899,0.37,0.94,0.74,1
Mind management mind,Jesus Flores,metal,32,129773,0.51,0.78,0.36,1
Suffer issue official tree,Jonathan Atkins,hip hop,31,267330,0.18,0.94,0.94,1
Movement our listen,Richard Fields,classical,57,190513,0.2,0.82,0.02,1
Item happen,David Baker,hip hop,71,286094,0.9,0.52,0.62,1
Early reach lose,Lindsay Orr,jazz,80,122164,0.25,0.43,0.9,1
Student boy,Charles Conley,jazz,26,204598,0.6,0.84,0.47,1
Will,Julia Green,pop,58,152663,0.8,0.52,0.0,1
Culture reason,Destiny Roberts,jazz,70,253341,0.95,0.21,0.27,1
Notice,Brandi Yates,metal,48,255356,0.96,0.43,0.59,1
Behind start ready,Richard Fields,reggae,52,147916,0.46,0.85,0.64,1
Hit personal war,Roberto Heath,pop,33,282850,0.44,0.08,0.03,0
Several lead clear money,Julia Green,folk,91,237448,0.1,0.39,0.83,1
Reason four stand,Nicholas Meyer,metal,41,120013,0.65,0.08,0.73,1
Final,Amanda Huffman,pop,12,220757,0.49,0.29,0.56,0
Level choose go,Jonathan Atkins,electronic,88,174391,0.97,0.37,0.89,1
Front character,Charles Conley,folk,2,192938,0.32,0.91,0.65,1
See network,Kristen Luna MD,metal,73,180116,0.48,0.31,0.14,1
Cost admit,Mr. Norman Bender DDS,hip hop,55,138900,0.47,0.7,0.59,1
Radio,Marvin Shaw,reggae,38,128727,0.84,0.33,0.98,0
Executive growth,Charles Conley,folk,90,248582,0.43,0.17,0.38,1
Small successful turn light,William Livingston,folk,80,227812,0.76,0.25,0.65,0
Great save,Mr. Norman Bender DDS,metal,6,295944,0.39,0.32,0.35,0
Ground job challenge,Richard Fields,rock,98,140831,0.85,0.14,0.55,1
Interesting option,Roberto Heath,classical,78,290006,0.21,0.76,0.64,1
Across star thing,Kristen Luna MD,hip hop,62,240498,0.35,0.38,0.47,0
Whatever certain,Charles Conley,metal,53,158451,0.05,0.19,0.42,1
Less season,Amanda Huffman,jazz,36,175387,0.63,0.26,0.51,1
Whether watch single contain,Donna Ellis,electronic,13,260828,0.07,0.96,0.2,1
Save college,Amanda Huffman,reggae,53,143272,0.48,0.84,0.9,1
Want agency man,Marvin Shaw,electronic,57,199024,0.28,0.36,0.46,1
Political ok skin,Amanda Huffman,hip hop,52,155626,0.39,0.94,0.44,1
While quickly clearly,Derrick Flores,pop,78,265298,0.91,0.61,0.81,1
Particularly within place,Charlotte Jones,reggae,47,280766,0.27,0.29,0.24,1
Though,Kristen Luna MD,folk,42,156264,0.59,0.85,0.45,1
The bad,Richard Fields,jazz,96,182921,0.48,0.47,0.56,1
Any thing bad during,Julia Green,pop,19,125905,0.96,0.48,0.47,0
Positive PM bill,Kathryn Holloway,jazz,56,211942,0.2,0.09,0.32,1
Chair as,Brittany Avila,electronic,99,174515,0.06,0.59,0.79,0
Difference party himself,Edward Mitchell,jazz,4,227227,0.37,0.36,0.51,0
How head him,Nicholas Meyer,jazz,33,210021,0.24,0.98,0.8,1
Management safe,William Rivera,classical,43,167262,0.91,0.86,0.13,1
Mrs religious kind,Christopher Higgins,metal,80,299185,0.92,0.67,0.01,0
Property community boy,Janice Schaefer,jazz,3,269584,0.74,0.07,0.74,1
Minute drop,Kathleen Lang,classical,9,140621,0.6,0.77,0.5,1
Skill since big,Roberto Heath,classical,11,263554,0.1,0.89,0.5,1
New discussion eight,Alexa Pace,jazz,54,140054,0.31,0.31,0.45,0
Than budget,Brittany Avila,folk,97,289845,0.41,0.49,0.0,1
Dinner,Alexa Pace,metal,85,290629,0.86,0.83,0.55,0
Son travel,Edward Mitchell,pop,47,154908,0.37,0.34,0.6,1
My environmental interview push,Jennifer Black,pop,82,282221,0.07,0.72,0.7,0
Evening myself check,Nicholas Meyer,pop,23,270536,0.7,0.5,0.91,0
Eat only,Antonio Jones,classical,61,298365,0.24,0.54,0.17,0
Probably report financial,Julia Green,rock,7,212944,0.07,0.88,0.53,1
Week,Clayton Stone,pop,62,200616,0.45,0.24,0.55,0
Hair choice foot,Janice Schaefer,jazz,93,251161,0.34,0.26,0.3,1
Establish artist success,Wesley Nelson,hip hop,24,205803,0.61,0.28,0.02,0
Politics decision art,Derrick Flores,electronic,61,289119,0.23,0.36,0.08,1
On whether,Clayton Stone,metal,63,245584,0.3,0.2,0.97,1
Time expert lead,Derrick Flores,rock,86,169256,0.01,0.36,0.37,1
Often face,Charlotte Jones,metal,40,260119,0.81,0.35,0.95,1
Beautiful card service,Jasmine Smith,hip hop,15,248177,0.55,0.33,0.88,0
Best guy plant,Clayton Stone,folk,90,297580,0.79,0.08,0.17,1
Base game news,Jennifer Mcpherson,classical,66,148993,0.38,0.35,0.62,0
Accept,Nichole Drake,folk,12,274034,0.22,0.53,0.95,0
Television traditional interest,Kristen Luna MD,folk,97,130761,0.73,0.99,0.96,0
Understand agreement,Kathryn Ruiz,jazz,24,187925,0.13,0.61,0.82,1
Manage instead,Abigail Watkins,hip hop,88,279453,0.88,0.57,0.74,0
Black visit,Ebony Frey,pop,94,146635,0.17,0.52,0.15,0
Democratic read environment,Roberto Heath,jazz,11,197521,0.72,0.09,0.25,1
Compare system,Jennifer Mcpherson,classical,25,134148,0.95,0.32,0.04,0
Less dinner,Jonathan Atkins,jazz,1,237907,0.44,0.09,0.71,0
Quality front,Jennifer Mcpherson,metal,78,263924,0.3,0.77,0.32,1
Region specific,William Rivera,metal,95,200065,0.33,0.89,0.12,0
Determine,Anne Flynn,rock,52,280923,0.86,0.6,0.34,0
Here low,Clayton Stone,metal,87,141504,0.93,0.92,0.8,0
Toward say,Abigail Watkins,metal,88,220255,0.98,0.38,0.62,0
Candidate will fast,David Baker,pop,89,258002,0.64,0.16,0.25,0
Many just,Christopher Gomez,metal,18,229419,0.82,0.93,0.15,0
Tax example current,Mary Martin,reggae,81,225410,0.17,0.78,0.84,1
Past election hold,Richard Fields,hip hop,67,170738,0.63,0.5,0.8,0
Seem cause success,Wesley Nelson,pop,44,269082,0.23,0.66,0.63,1
Capital citizen skill,Destiny Roberts,reggae,97,154778,0.55,0.46,0.7,0
Argue exist,Richard Fields,hip hop,5,289184,0.66,0.91,0.27,1
Compare media,Edward Mitchell,reggae,16,186607,0.81,0.56,0.94,0
Partner notice,Roberto Heath,classical,37,207733,0.19,0.72,0.04,0
Leave strong find under,Matthew Reese,hip hop,66,224709,0.02,0.38,0.29,0
Name factor,Jesse Mccarthy,hip hop,33,123353,0.42,0.36,0.3,1
Risk,John Evans,jazz,51,279118,0.97,0.04,0.58,1
Customer ever card,Matthew Reese,rock,64,273203,0.51,0.44,0.96,1
Total drop allow,Christopher Higgins,electronic,12,221955,0.33,0.84,0.43,0
Stage as actually,Derrick Flores,electronic,71,249010,0.53,0.93,0.44,1
New consider very,Aaron Phillips,classical,89,280784,0.62,0.24,0.21,0
Often quite,Brittany Avila,metal,16,156189,0.84,0.02,0.09,0
Condition support,Mr. Norman Bender DDS,electronic,48,122391,0.92,0.48,0.59,1
Stock war,David Baker,rock,73,281323,0.02,0.51,0.21,0
Knowledge series,Jennifer Black,jazz,75,204581,0.73,0.56,0.95,1
Somebody sing base,William Livingston,jazz,75,151990,0.26,0.81,0.73,1
Manage recently this,Clayton Stone,electronic,56,153592,0.56,0.59,0.88,1
